Date,Close/Last,Open,High,Low,SP500_Daily_Return,SP500_Return_Lag1,SP500_Return_Lag3,SP500_Daily_Return_Pct,SP500_Cumulative_Return,SP500_Rolling_Vol_5d,SP500_Rolling_Vol_20d,SP500_Return_5d,SP500_Return_20d,SP500_MA_5d,SP500_MA_20d
2016-06-22,2085.45,2089.75,2099.71,2084.36,-0.001651586959643958,0.0027121084843393373,-0.003257956005563112,-0.1651586959643958,-0.01680731695818094,0.05894578858744855,0.06766108643000987,0.006734250543084741,0.0045229906650097185,2081.362,2093.264
2016-06-23,2113.32,2092.8,2113.32,2092.8,0.013364022153492305,-0.001651586959643958,0.005808171029634712,1.3364022153492305,-0.0036679081608584907,0.10512023160726557,0.07896066309239383,0.017002006746904552,0.010896706114209787,2088.428,2094.4030000000002
2016-06-24,2037.41,2103.81,2103.81,2032.57,-0.03591978498287063,0.013364022153492305,0.0027121084843393373,-3.591978498287063,-0.039455942671254185,0.3036380209055461,0.15174207351374797,-0.016323712594509376,-0.02520932012822341,2081.666,2091.7685
2016-06-27,2000.54,2031.45,2031.45,1991.68,-0.01809650487628911,-0.03591978498287063,-0.001651586959643958,-1.809650487628911,-0.05683843288859436,0.3066794618456997,0.16143670679110397,-0.039702388095523844,-0.046935294846264464,2065.124,2086.8424999999997
2016-06-28,2036.09,2006.67,2036.09,2006.67,0.01777020204544777,-0.01809650487628911,0.013364022153492305,1.777020204544777,-0.04007826127952352,0.35447098283428585,0.17656062719645768,-0.025281248503997378,-0.029027735388371778,2054.562,2083.799
2016-06-29,2070.77,2042.69,2073.13,2042.69,0.01703264590465059,0.01777020204544777,-0.03591978498287063,1.703264590465059,-0.023728254207721178,0.3884683361442035,0.18823540033350752,-0.0070392481239059945,-0.013604340432423645,2051.626,2082.371
2016-06-30,2098.86,2073.17,2098.94,2070.0,0.013565002390415248,0.01703264590465059,-0.01809650487628911,1.3565002390415248,-0.010485125642354043,0.38894438357055894,0.1945934979442273,-0.006842314462551791,-0.0030400045600068593,2048.734,2082.0510000000004
2016-07-01,2102.95,2099.34,2108.71,2097.9,0.0019486769007937,0.013565002390415248,0.01777020204544777,0.19486769007937,-0.008556880863701544,0.2399041086215624,0.19442021077331673,0.03216829209633776,0.001819801536826926,2061.842,2082.2419999999997
2016-07-05,2088.55,2095.05,2095.05,2080.86,-0.006847523716683512,0.0019486769007937,0.01703264590465059,-0.6847523716683512,-0.01534581113572997,0.17072947718198503,0.1950955333745199,0.04399312185709858,-0.00988902110068679,2079.444,2081.199
2016-07-06,2099.73,2084.43,2100.72,2074.02,0.005352996097771179,-0.006847523716683512,0.013565002390415248,0.5352996097771179,-0.010074961105085434,0.1507280090900964,0.19609962283595983,0.03125598573736932,-0.005870850752557888,2092.172,2080.5789999999997
2016-07-07,2097.9,2100.42,2109.08,2089.39,-0.0008715406266519565,0.005352996097771179,0.0019486769007937,-0.08715406266519565,-0.010937720993822397,0.12025330739532684,0.19566231806545886,0.013101406723103004,-0.010013590547019446,2097.598,2079.518
2016-07-08,2129.9,2106.97,2131.71,2106.97,0.015253348586681925,-0.0008715406266519565,-0.006847523716683512,1.5253348586681925,0.004148790721796969,0.1301185851867835,0.20330564244091368,0.014788980684752762,0.006816419914156713,2103.806,2080.239
2016-07-11,2137.16,2131.72,2143.16,2131.72,0.0034086107328981097,0.015253348586681925,0.005352996097771179,0.34086107328981097,0.00757154306727803,0.1298110614268797,0.20031499694400626,0.016267624051927054,0.019603352941456986,2110.648,2082.2934999999998
2016-07-12,2152.14,2139.5,2155.4,2139.5,0.007009302064421963,0.0034086107328981097,-0.0008715406266519565,0.7009302064421963,0.014633916364152233,0.09424648301025347,0.1983237892597186,0.030446960810131207,0.03515050070705028,2123.366,2085.9475
2016-07-13,2152.43,2153.81,2156.45,2146.21,0.00013474959807435738,0.007009302064421963,0.015253348586681925,0.013474959807435738,0.014770637876574844,0.10344217282888331,0.1979763926747228,0.025098465040743312,0.03715571574504151,2133.906,2089.803
2016-07-14,2163.75,2157.88,2168.99,2157.88,0.005259172191430128,0.00013474959807435738,0.0034086107328981097,0.5259172191430128,0.02010749139597512,0.08982836629208038,0.1978009861177037,0.03138853138853137,0.044532947139753754,2147.076,2094.4155
2016-07-15,2161.74,2165.13,2169.05,2155.79,-0.0009289428076257877,0.005259172191430128,0.007009302064421963,-0.09289428076257877,0.019159869878837554,0.053238111358546385,0.19808724752097057,0.014949058641250623,0.04030337008359042,2153.444,2098.603
2016-07-18,2166.89,2162.04,2168.35,2159.63,0.0023823401519147414,-0.0009289428076257877,0.00013474959807435738,0.23823401519147414,0.021587855358070174,0.0532119649315097,0.19709111134889545,0.013910984671245963,0.04619016811347909,2159.39,2103.3865
2016-07-19,2163.78,2163.79,2164.63,2159.01,-0.001435236675604079,0.0023823401519147414,0.005259172191430128,-0.1435236675604079,0.020121635000708515,0.04377545287332473,0.19707488902938317,0.005408570074437735,0.038655946237849514,2161.718,2107.413
2016-07-20,2173.02,2166.1,2175.63,2164.89,0.004270304744474762,-0.001435236675604079,-0.0009289428076257877,0.4270304744474762,0.0244778652585933,0.047796045895196225,0.19723004635296662,0.009565932457733961,0.040269998563837284,2165.8360000000002,2111.6189999999997
2016-07-21,2165.17,2172.91,2174.56,2159.75,-0.0036124840084306165,0.004270304744474762,0.0023823401519147414,-0.36124840084306165,0.020776955353355442,0.050069250230705756,0.19784003576305795,0.0006562680531485565,0.03822676161020411,2166.12,2115.605
2016-07-22,2175.03,2166.47,2175.11,2163.24,0.004553914935085945,-0.0036124840084306165,-0.001435236675604079,0.45539149350859454,0.025425486775730644,0.05733141401743237,0.19352434702546395,0.0061478253629023705,0.029200499687695114,2168.778,2118.6904999999997
2016-07-25,2168.48,2173.71,2173.71,2161.95,-0.0030114527155947757,0.004553914935085945,0.004270304744474762,-0.30114527155947757,0.022337466408939743,0.06301768610198684,0.1357270570897106,0.0007337705190388899,0.06433167600041223,2169.0960000000005,2125.2439999999997
2016-07-26,2169.18,2168.97,2173.54,2160.18,0.0003228067586511507,-0.0030114527155947757,-0.0036124840084306165,0.03228067586511507,0.022667483852718773,0.06144251795245494,0.11096089687064291,0.00249563264287489,0.08429723974526881,2170.1760000000004,2133.676
2016-07-27,2166.58,2169.81,2174.98,2159.07,-0.001198609612849011,0.0003228067586511507,0.004553914935085945,-0.11986096128490109,0.021441704775824855,0.051843285862074866,0.09978165975164016,-0.0029636174540501603,0.06408852260951137,2168.888,2140.2005
2016-07-28,2170.06,2166.05,2172.85,2159.74,0.0016062180948777094,-0.001198609612849011,-0.0030114527155947757,0.16062180948777094,0.023082362924898625,0.04552317876702402,0.08523829203633647,0.0022584831676033534,0.04794834771606693,2169.866,2145.165
2016-07-29,2173.6,2168.83,2177.09,2163.49,0.0016312913007012764,0.0016062180948777094,0.0003228067586511507,0.16312913007012764,0.024751308283438966,0.03151632629266546,0.07424515324647726,-0.0006574621959238858,0.0356098072286859,2169.5799999999995,2148.902
2016-08-01,2170.84,2173.15,2178.29,2166.21,-0.0012697828487301388,0.0016312913007012764,-0.001198609612849011,-0.12697828487301388,0.023450096647966934,0.022667505025209814,0.07501247139774882,0.0010883199291671364,0.03228322118928184,2170.0519999999997,2152.2965
2016-08-02,2157.03,2169.94,2170.2,2147.58,-0.006361592747507805,-0.0012697828487301388,0.0016062180948777094,-0.6361592747507805,0.016939323935694972,0.05174746650515541,0.07430310726578361,-0.005601194921583064,0.0327882981015537,2167.622,2155.7205
2016-08-03,2163.79,2156.81,2163.79,2152.56,0.00313393879547319,-0.006361592747507805,0.0016312913007012764,0.313393879547319,0.020126349535619426,0.05983412821368699,0.0732361985773605,-0.0012877438174450084,0.0305086844499054,2167.064,2158.9235
2016-08-04,2164.25,2163.51,2168.19,2159.07,0.00021258994634409945,0.00313393879547319,-0.0012697828487301388,0.021258994634409945,0.020343218141531505,0.057893993675778244,0.07286804471929127,-0.002677345326857261,0.031626864960198287,2165.902,2162.241
2016-08-05,2182.87,2168.79,2182.87,2168.79,0.008603442301027941,0.00021258994634409945,-0.006361592747507805,0.8603442301027941,0.02912168214605737,0.0877553591233112,0.058761233454335184,0.004264814133235095,0.024869712193060556,2167.756,2164.8895
2016-08-08,2180.89,2183.76,2185.44,2177.85,-0.0009070627201803738,0.008603442301027941,0.00313393879547319,-0.09070627201803738,0.028188204233653424,0.08723604243401693,0.05864116289636339,0.004629544323855983,0.020461734264163756,2169.7659999999996,2167.076
2016-08-09,2181.74,2182.24,2187.66,2178.61,0.0003897491391129382,-0.0009070627201803738,0.00021258994634409945,0.03897491391129382,0.028588939701099658,0.060822116816846385,0.05421419091636487,0.011455566218364854,0.01375375207932561,2174.708,2168.5559999999996
2016-08-10,2175.49,2182.81,2183.41,2172.0,-0.002864685984581117,0.0003897491391129382,0.008603442301027941,-0.2864685984581117,0.025642355381642723,0.06980261579639838,0.05564724353217216,0.0054071790700576106,0.010713472679715563,2177.048,2169.709
2016-08-11,2185.79,2177.97,2188.45,2177.97,0.0047345655461528136,-0.002864685984581117,-0.0009070627201803738,0.47345655461528136,0.03049832634010774,0.07351799913223778,0.05508534458887671,0.009952639482499803,0.010186019641825528,2181.3559999999998,2170.8109999999997
2016-08-12,2184.05,2183.74,2186.28,2179.42,-0.0007960508557545154,0.0047345655461528136,0.0003897491391129382,-0.07960508557545154,0.029677997265571188,0.04501826760545213,0.055041222713819546,0.000540572732228739,0.01032039005615859,2181.5919999999996,2171.9265
2016-08-15,2190.15,2186.08,2193.81,2186.08,0.002792976351273957,-0.0007960508557545154,-0.002864685984581117,0.2792976351273957,0.03255386356136114,0.04734836709502265,0.055244504593117055,0.004245972974336265,0.010734278159020727,2183.4440000000004,2173.0895
2016-08-16,2178.15,2186.24,2186.24,2178.14,-0.005479076775563363,0.002792976351273957,0.0047345655461528136,-0.5479076775563363,0.026896421668003878,0.0657199587498656,0.05890544076855146,-0.0016454756295432027,0.006641155755206185,2182.7259999999997,2173.808
2016-08-17,2182.22,2177.84,2183.08,2168.5,0.001868558180106783,-0.005479076775563363,-0.0007960508557545154,0.1868558180106783,0.028815237376834002,0.0627064274721673,0.057375768676235374,0.003093555934525094,0.004233739220071531,2184.0719999999997,2174.268
2016-08-18,2187.02,2181.9,2187.03,2180.46,0.002199594907937863,0.001868558180106783,0.002792976351273957,0.2199594907937863,0.031078214134176996,0.05425027069966249,0.055920797572767814,0.0005627256049300922,0.010091586341949954,2184.318,2175.3605
2016-08-19,2183.87,2184.24,2185.0,2175.13,-0.001440316046492529,0.002199594907937863,-0.005479076775563363,-0.1440316046492529,0.029593135637170587,0.055119390018651536,0.05418998229279638,-8.241569561151518e-05,0.004064311756619254,2184.282,2175.8025
2016-08-22,2182.64,2181.58,2185.15,2175.96,-0.0005632203382069934,-0.001440316046492529,0.001868558180106783,-0.056322033820699335,0.02901324784310133,0.04919178661607861,0.052943119922721146,-0.0034289888820401293,0.006529919575001708,2182.7799999999997,2176.5105
2016-08-23,2186.9,2187.81,2193.42,2186.8,0.0019517648352453953,-0.0005632203382069934,0.002199594907937863,0.19517648352453953,0.031021639715243188,0.026686856956996095,0.053254710148420446,0.004017170534627912,0.008168985515264016,2184.5299999999997,2177.3965
