date,adj_close,close,high,low,open,volume,daily_returns,profit/loss,percentreturn,MA50,MA200,price_range,price_change,volatility,RSI,EMA12,EMA26,MACD,Signal_Line,RSI_Signal,MACD_Signal,day_of_week,week_of_year,month,is_weekend,BB_middle,BB_std,BB_upper,BB_lower,BB_width,stoch_k,stoch_d,ATR,OBV,vwap,rolling_mean_7,rolling_mean_30,rolling_vol_7,rolling_vol_30,rolling_return_7,rolling_return_30,rolling_max_7,rolling_min_7,close_lag_1,close_lag_3,close_lag_7,close_lag_30,trend_strength,volatility_volume_ratio,MACD_histogram
2024-08-05 00:00:00+00:00,53991.45703,53991.45703,58268.82813,49121.23828,58110.29688,109000000000.0,-7.087969027,LOSS,-0.013127945,62556.7082042,61536.79177835001,9147.589850000004,-4118.839850000004,0.15741771,17.688010160732915,62061.90264659267,63107.720351683834,-1045.8177050911618,334.60941755969884,Oversold,Sell,0,32,8,0,64798.3003915,3691.8074615141295,72181.91531452826,57414.68546847174,14767.229846056522,23.340115727019633,12.914215169573787,3118.9626114285707,1192734114123.0,30915.578868080796,61483.05134,62983.44544333333,4381.972331190455,4362.544583815307,-0.19198553620528258,-0.07395918154406467,66987.67188,49121.23828,58116.97656,61415.06641,66819.91406,58303.53906,1.0165740916348651,1.4441991743119265e-12,-1380.4271226508606
2024-08-06 00:00:00+00:00,56034.31641,56034.31641,57059.91797,53973.27344,53991.34766,49300484106.0,3.783881749,PROFIT,0.006752794,62347.58859479999,61608.87132915,3086.644530000005,2042.96875,0.057169244,26.906801272960806,61134.58168711688,62583.764504151695,-1449.1828170348163,-22.149029359204278,Oversold,Sell,1,32,8,0,64394.0765635,4180.387486161082,72754.85153582216,56033.301591177835,16721.54994464433,33.130348320417546,21.18760768248746,3175.5404571428567,1242034598229.0,30934.92565569388,60030.66573714285,62989.619011,4240.158149328341,4352.219259486525,-0.1535731608231219,0.0033162038223355506,66810.21094,49121.23828,53991.45703,60680.09375,66201.01563,55849.10938,1.0119904365996795,1.1596081668707661e-12,-1427.033787675612
2024-08-07 00:00:00+00:00,55027.46094,55027.46094,57726.88281,54620.50781,56040.63281,41637562185.0,-1.807923687,LOSS,-0.003285494,62145.3228918,61675.68070414999,3106.375,-1013.1718700000056,0.055430762,26.351589825328105,60195.0246490989,62024.03831421454,-1829.0136651156354,-383.52195651049067,Oversold,Sell,2,32,8,0,63946.74629,4676.886860385869,73300.52001077174,54592.97256922827,18707.547441543473,28.30507775322119,28.258513933552795,3256.9252221428574,1200397036044.0,30951.309318297037,58660.410157142855,62933.697787,4056.0119372576473,4445.530490955063,-0.14843547487784214,-0.029585289316650165,65593.24219,49121.23828,56034.31641,58116.97656,64619.25,56705.09766,1.0076147061903187,1.3312681888943303e-12,-1445.4917086051446
2024-08-08 00:00:00+00:00,61710.13672,61710.13672,62673.76563,54766.72656,55030.02734,45298472567.0,12.13902609,PROFIT,0.019671041,62080.3196886,61776.502461949996,7907.039069999999,6680.109380000002,0.143685901,42.77588398176611,60428.11881385292,62000.78634427271,-1572.6675304197925,-621.3510712923512,Neutral,Sell,3,32,8,0,63696.745313499996,4654.981041222733,73006.70739594546,54386.78323105453,18619.92416489093,60.33124209570608,40.588889389781606,3633.217354285715,1245695508611.0,30971.921670960226,58139.35826,63057.061459000004,3195.2243322220347,4354.583894711612,-0.055806346325976364,0.0637986468613243,65523.22266,49121.23828,55027.46094,53991.45703,65357.5,58009.22656,1.0049180062732936,3.1719811476529867e-12,-951.3164591274412
2024-08-09 00:00:00+00:00,60880.11328,60880.11328,61751.86328,59587.85938,61728.20703,33425553115.0,-1.37391606,LOSS,-0.002256757,62001.3488292,61883.3661924,2164.003899999996,-848.09375,0.03505697,36.90247959621428,60497.65642402939,61917.77352469696,-1420.1171006675722,-781.1042771673955,Neutral,Sell,4,32,8,0,63382.56855550001,4620.59451293863,72623.75758137727,54141.37952962275,18482.378051754524,56.353424231623684,48.32991469351699,3611.800780714286,1212269955496.0,30987.653169702797,58062.936384285706,63161.64869866667,3109.05514246712,4259.172534084989,-0.008710454311466775,0.05433809416741475,62673.76563,49121.23828,61710.13672,56034.31641,61415.06641,57742.49609,1.0019065323051946,1.0488074761062933e-12,-639.0128235001768
2024-08-10 00:00:00+00:00,60945.8125,60945.8125,61464.51172,60287.56641,60881.23047,15745822278.0,0.106078722,PROFIT,0.000174054,61938.3410948,61988.867501,1176.9453100000028,64.58202999999776,0.019331825,37.19297795886487,60566.60351264025,61845.77641175645,-1279.1728991162017,-880.7180015571568,Neutral,Sell,5,32,8,1,63022.1330085,4508.564542188221,72039.26209287644,54005.00392412356,18034.25816875288,56.66828224451581,57.78431619061521,3503.4905128571436,1228015777774.0,30995.097729401565,58100.896205714285,63281.67864666667,3147.716597227016,4138.629133888143,0.004379010208763967,0.06279368447971478,62673.76563,49121.23828,60880.11328,55027.46094,60680.09375,57344.91406,0.9991849116101502,1.2277431218698784e-12,-398.454897559045
2024-08-11 00:00:00+00:00,58719.48438,58719.48438,61778.66016,58348.82422,60944.89063,22759754812.0,-3.651505856,LOSS,-0.006218559,61827.679219800004,62082.079551799994,3429.835939999997,-2225.40625,0.056277662,33.3252918981335,60282.4313383879,61614.19922421894,-1331.7678858310392,-970.9279784119333,Neutral,Sell,6,32,8,1,62578.84472749999,4471.998193032529,71522.84111356505,53634.84834143493,17887.99277213012,45.998791070814825,53.006832515651446,3661.619977857143,1205256022962.0,31005.390276594513,58186.96875142857,63309.01263133333,3156.4550798969217,4104.422588617962,0.010367156993756677,0.014162817260333194,62673.76563,49121.23828,60945.8125,61710.13672,58116.97656,57899.46484,0.9959021937757784,2.4726831402563178e-12,-360.8399074191059
2024-08-12 00:00:00+00:00,59354.51563,59354.51563,60680.33203,57688.89844,58719.39453,37078637820.0,1.081620645,PROFIT,0.001822306,61751.1535948,62179.183087,2991.4335900000005,635.1211000000039,0.050944558,36.57033349260279,60139.67507555899,61446.81525427679,-1307.1401787178038,-1038.1704184731075,Neutral,Sell,0,33,8,0,62250.18691499999,4454.435545838466,71159.05800667692,53341.31582332306,17817.74218335386,57.27655322324655,53.31454217952574,3628.5119978571433,1242334660782.0,31021.923121217107,58953.11998,63313.098048,2563.564744718079,4100.283381417913,0.0993316145741363,0.0020691956540923595,62673.76563,53973.27344,58719.48438,60880.11328,53991.45703,59231.95313,0.9931161930577135,1.3739598053011754e-12,-268.9697602446963
2024-08-13 00:00:00+00:00,60609.56641,60609.56641,61572.39844,58506.25391,59356.20703,30327698167.0,2.111589398,PROFIT,0.003483921,61757.7966418,62273.14656360001,3066.1445299999978,1253.3593800000017,0.051656679,40.166488304507475,60211.96605008838,61384.796821367396,-1172.8307712790192,-1065.1024890342899,Neutral,Sell,1,33,8,0,62012.058594999995,4405.79111805643,70823.64083111286,53200.476358887136,17623.164472225726,64.9462710515603,56.0738717818739,3728.6308592857154,1272662358949.0,31035.904450342696,59606.72712285713,63307.15716266667,2260.721478386426,4104.195705100363,0.08165085778013514,-0.002931946551965825,62673.76563,54620.50781,59354.51563,60945.8125,56034.31641,60787.79297,0.9917243635461125,1.703283866634111e-12,-107.72828224472937
2024-08-14 00:00:00+00:00,58737.26953,58737.26953,61687.75781,58472.875,60611.05078,29961696180.0,-3.091484516,LOSS,-0.005263242,61696.4492198,62356.2326378,3214.882810000003,-1873.78125,0.053041199,39.76018023638387,59985.08966238247,61188.68368867352,-1203.5940262910517,-1092.8007964856422,Neutral,Sell,2,33,8,0,61660.0607435,4370.225912559487,70400.51256861897,52919.608918381025,17480.903650237946,58.3780291853998,60.20028448673556,3795.5393414285722,1242700662769.0,31049.4218236016,60136.69977857143,63102.72773566667,1189.2119406501847,4175.7734221433775,0.06741740444911759,-0.09454090346290689,62673.76563,54766.72656,60609.56641,58719.48438,55027.46094,64870.15234,0.9894191263633197,1.7703002754365423e-12,-110.79322980540951
2024-08-15 00:00:00+00:00,57560.09766,57560.09766,59838.64844,56161.59375,58733.26172,35682112440.0,-1.997444086,LOSS,-0.003470189,61631.4256262,62433.85515734999,3677.054689999997,-1173.1640600000028,0.062606002,36.62998467385937,59612.01396970824,60919.899538401405,-1307.8855686931638,-1135.8177509271466,Neutral,Sell,3,33,8,0,61142.4625015,4200.5176907118075,69543.4978829236,52741.42712007638,16802.070762847223,51.450234218550094,58.25817815183674,3819.307477857143,1207018550329.0,31064.50232208027,59543.837055714284,62851.49270966666,1303.081057238944,4277.144106722374,-0.06725052447752866,-0.11578158123081062,61778.66016,56161.59375,58737.26953,59354.51563,61710.13672,65097.14844,0.987147525503148,1.7545486440936734e-12,-172.06781776601724
